Expedia,Booking,Jaro-Winkler,Soundex,Damerau-Levenshtein,Ймовірність,Рішення
"Deluxe Room, 1 King Bed",Deluxe King Room,0.82,0.00,12.0,82%,Належить
"Standard Room, 1 King Bed, Accessible",Standard King Roll-in Shower Accessible,0.74,1.00,17.0,81%,Належить
"Grand Corner King Room, 1 King Bed",Grand Corner King Room,0.79,1.00,12.0,83%,Належить
"Suite, 1 King Bed (Parlor)",King Parlor Suite,0.56,0.00,20.0,83%,Належить
"High-Floor Premium Room, 1 King Bed",High-Floor Premium King Room,0.89,1.00,12.0,85%,Належить
"Traditional Double Room, 2 Double Beds",Double Room with Two Double Beds,0.77,0.00,20.0,85%,Належить
"Room, 1 King Bed, Accessible",King Room - Disability Access,0.70,0.00,20.0,85%,Належить
"Deluxe Room, 1 King Bed",Deluxe King Room,0.82,0.00,12.0,85%,Належить
Deluxe Room,Deluxe Room (Non Refundable),0.56,1.00,17.0,85%,Належить
"Room, 2 Double Beds (19th to 25th Floors)",Two Double Beds - Location Room (19th to 25th Floors),0.83,0.00,22.0,85%,Належить
"Room, 1 King Bed (19th to 25 Floors)",King Bed - Location Room (19th to 25th Floors),0.83,0.00,22.0,85%,Належить
Deluxe Room,Deluxe Double Room,0.76,0.00,7.0,80%,Належить
"Junior Suite, 1 King Bed with Sofa Bed",Junior Suite,0.48,1.00,26.0,80%,Належить
"Signature Room, 2 Queen Beds",Signature Two Queen,0.64,1.00,11.0,80%,Належить
"Signature Room, 1 King Bed",Signature One King,0.68,1.00,11.0,80%,Належить
"Premium Room, 2 Queen Beds",Premium Two Queen,0.70,1.00,11.0,80%,Належить
"Studio, 1 King Bed with Sofa bed, Corner",Corner King Studio,0.62,0.00,31.0,80%,Належить
"Club Room, 2 Queen Beds",Club Two Queen,0.65,0.00,11.0,80%,Належить
"Club Room, 1 King Bed",Club One King,0.59,0.00,11.0,80%,Належить
"Club Room, Premium 2 Queen Beds",Club Premium Two Queen,0.75,0.00,14.0,80%,Належить
"Suite, 1 Bedroom",One Bedroom Suite,0.79,0.00,13.0,80%,Належить
"Deluxe Room, City View",Deluxe King Or Queen Room,0.47,0.00,16.0,19%,Не належить
"Deluxe Room, Lake View",Deluxe King Or Queen Room with Lake View,0.68,0.00,19.0,19%,Не належить
"Club Room, City View (Club Lounge Access for 2 guests)",Club Level King Or Queen Room with City View,0.51,0.00,39.0,19%,Не належить
"Club Room, Lake View (Club Lounge Access for 2 guests)",Club Level King Or Queen Room with Water View,0.53,0.00,40.0,19%,Не належить
"Deluxe Room, 1 King Bed",Deluxe Room - One King Bed,0.86,1.00,5.0,85%,Належить
"Deluxe Room, 2 Queen Beds",Deluxe Room - Two Queen Beds,0.87,1.00,5.0,85%,Належить
"Premier Room, 1 King Bed (Royal Club)",Royal Club Premier Room - One King Bed,0.72,0.00,29.0,85%,Належить
"Room, 2 Double Beds, Non Smoking",Double Room with Two Double Beds,0.66,0.00,28.0,85%,Належить
"Room, 1 King Bed, Non Smoking (LEISURE)",King Room,0.38,0.00,32.0,18%,Не належить
"Executive Room, 1 King Bed, Non Smoking",Executive King Room,0.66,1.00,22.0,80%,Належить
"Suite, 1 King Bed, Non Smoking",King Suite,0.50,0.00,23.0,80%,Належить
"Room, 1 Queen Bed, Non Smoking (Fairmont Room)",Queen Room,0.36,0.00,36.0,17%,Не належить
"Luxury Room, 1 Queen Bed, Non Smoking",Luxury Queen,0.49,0.00,25.0,20%,Не належить
"Luxury Room, 1 King Bed, Non Smoking",Luxury King,0.47,0.00,25.0,19%,Не належить
"Luxury Room, 2 Double Beds, Non Smoking",Luxury Double Room,0.63,0.00,23.0,19%,Не належить
"Deluxe Room, 1 King Bed, Non Smoking",Deluxe King Room,0.62,0.00,22.0,19%,Не належить
"Signature Room, 2 Double Beds, Non Smoking",Signature Double,0.55,1.00,26.0,19%,Не належить
"Signature Room, 1 King Bed, Non Smoking",Signature King,0.53,1.00,25.0,19%,Не належить
"Fairmont Gold, Suite, 1 King Bed, Non Smoking",Gold King Suite,0.50,0.00,33.0,19%,Не належить
"Room, 1 King Bed, Non Smoking, Business Lounge Access (Fairmont Gold)",Business King Room - Exclusive access to Gold Floor Lounge,0.54,0.00,51.0,19%,Не належить
"Room, 1 King Bed",King Room,0.72,0.00,12.0,82%,Належить
Double Room,Double Room with Two Double Beds,0.51,1.00,21.0,82%,Належить
"Business Plan, 1 King Bed",Business King Room,0.65,1.00,12.0,80%,Належить
"Room, 1 Queen Bed, City View",Queen Room With City View,0.75,0.00,16.0,80%,Належить
"Business Double Room, 2 Double Beds",Business Double Room With Two Double Beds,0.84,1.00,8.0,84%,Належить
"Room, 2 Queen Beds, City View",Queen Room With Two Queen Beds and City View,0.68,0.00,18.0,84%,Належить
Deluxe Suite,Deluxe Suite,1.00,1.00,0.0,87%,Належить
"Room, 1 Queen Bed, Accessible, Bathtub",Queen Room - Disability Access,0.65,0.00,29.0,87%,Належить
"Room, 1 King Bed",King Room,0.72,0.00,12.0,82%,Належить
"Room, 2 Double Beds",Double Room with Two Double Beds,0.63,0.00,15.0,82%,Належить
"King Room, Suite, 1 King Bed with Sofa bed",Deluxe King Suite With Sofa Bed,0.66,0.00,24.0,82%,Належить
"Deluxe Suite, 1 King Bed, Non Smoking, Kitchen",Deluxe King Suite With Kitchenette,0.62,1.00,28.0,80%,Належить
"Deluxe Room, 1 King Bed",Deluxe King Room,0.82,0.00,12.0,80%,Належить
"Premier Room, 1 King Bed",Premier King Room,0.83,1.00,12.0,84%,Належить
Premier Twin Room,Premier Queen Room With Two Queen Beds,0.58,1.00,24.0,84%,Належить
"Suite, 1 Bedroom",One - Bedroom Suite,0.80,0.00,12.0,84%,Належить
"Deluxe Suite, 1 Bedroom",Deluxe One - Bedroom Suite,0.86,0.00,12.0,84%,Належить
"Classic Room, 1 King Bed",Classic King Room,0.83,1.00,12.0,84%,Належить
"Luxury Room, 2 Queen Beds (Prestige)",Luxury Queen Room With Two Queen Beds,0.60,0.00,25.0,84%,Належить
"Signature Suite, 1 Bedroom",One-Bedroom Suite,0.60,0.00,21.0,84%,Належить
"Traditional Room, 1 King Bed",Standard King Room,0.57,0.00,21.0,84%,Належить
"Room, 1 Queen Bed",Standard Queen Room With One Queen Bed,0.51,0.00,23.0,84%,Належить
"Room, Accessible",Queen Room - Disability Access,0.65,0.00,23.0,84%,Належить
"Deluxe Room, 1 Queen Bed (High Floor)",Deluxe Queen Room - High Floor With Free Wi-Fi,0.58,0.00,30.0,84%,Належить
"Premium Room, 1 King Bed",Premium King Room With Free Wi-Fi,0.67,1.00,19.0,80%,Належить
"Premium Room, 1 Queen Bed",Premium Queen Room With Free Wi-Fi,0.68,1.00,19.0,80%,Належить
"Room, 1 King Bed, Pool View",King Room With Pool View,0.75,0.00,15.0,80%,Належить
"Room, 2 Queen Beds, Garden View",Queen Room With Two Queen Beds and Garden View,0.70,0.00,18.0,80%,Належить
"Club Room, 1 King Bed",Club King Room With Free Wi-Fi,0.55,0.00,19.0,80%,Належить
"Club Room, 2 Queen Beds",Club Queen Room With Two Queen Beds and Free Wi-Fi,0.55,0.00,29.0,80%,Належить
"Standard Room, Mountain View (Scenic)",Standard Room With Mountain View,0.78,1.00,14.0,83%,Належить
"Standard Room, Lagoon View",Standard Room Dolphin Lagoon View,0.85,1.00,8.0,84%,Належить
"Standard Room, Ocean View",Standard Room With Ocean View,0.89,1.00,5.0,85%,Належить
"Standard Room, Oceanfront",Standard Room With Ocean Front View,0.63,1.00,12.0,80%,Належить
"City Room, City View",Room With City View,0.72,0.00,9.0,80%,Належить
"Room, Partial Ocean View",Partical Ocean View Room,0.96,0.00,12.0,80%,Належить
"Deluxe Room, Corner",Corner Deluxe Studio,0.77,0.00,18.0,80%,Належить
"Room, Ocean View ",Room With Ocean View,0.83,0.00,6.0,80%,Належить
"Room, 1 King Bed, City View",City View With One King Bed,0.70,0.00,22.0,80%,Належить
"Room, 2 Double Beds, City View",City View With Two Double Beds,0.77,0.00,28.0,80%,Належить
"Room, 2 Double Beds, Partial Ocean View",Partial Ocean View With Two Double Beds,0.82,0.00,36.0,80%,Належить
"Room, 2 Double Beds, Accessible, Partial Ocean View",Accessible Partial Ocean View With Two Double Beds,0.85,0.00,43.0,80%,Належить
"Room, 2 Double Beds, Ocean View (Diamond Head)",Club Diamond Head Ocean View With Two Double Beds ,0.67,0.00,35.0,80%,Належить
"Club Room, 1 King Bed, Oceanfront",Club Ocean Front With One King Bed,0.63,0.00,23.0,80%,Належить
"Club Suite, 1 King Bed, Accessible, Ocean View",Accessible Club Ocean View Suite With One King Bed,0.85,0.00,41.0,80%,Належить
"Club Suite, 1 King Bed, Oceanfront (No Resort Charge)",Club Ocean Front Suite King Bed,0.60,1.00,37.0,80%,Належить
"Standard Room, Mountain View (City View - Kona Tower) - No Resort Fee",Kona Tower City / Mountain View,0.58,0.00,54.0,80%,Належить
"Standard Room, Partial Ocean View (Kona Tower) - No Resort Fee",Kona Tower Partial Ocean View,0.64,0.00,39.0,80%,Належить
"Standard Room, Partial Ocean View (Waikiki Tower) - No Resort Fee",Waikiki Tower Partial Ocean View,0.49,0.00,43.0,20%,Не належить
"Standard Room, Ocean View (Waikiki Tower) - No Resort Fee",Waikiki Tower Ocean View,0.40,0.00,41.0,18%,Не належить
"Room, 2 Queen Beds (Waikiki View)",Queen Room With Two Queen Beds and Waikiki View,0.50,0.00,19.0,18%,Не належить
"Room, Ocean View",King Or Two Queen Room With Ocean View,0.56,0.00,23.0,18%,Не належить
"Room, Oceanfront",One King Or Two Queens - Ocean Front,0.35,0.00,25.0,17%,Не належить
"Regency Club, Mountain View",Regency Club Mountain View,0.98,1.00,1.0,87%,Належить
"Regency Club, Ocean View",Regency Club Ocean View,0.98,1.00,1.0,87%,Належить
"Room, 1 King Bed, Ocean View",Ocean View Room With King Bed,0.84,0.00,25.0,87%,Належить
"Room, 1 King Bed, Resort View (Alii)",Alii Tower Resort View With King Bed,0.75,0.00,27.0,87%,Належить
"Room, 1 King Bed, Accessible, Resort View (Alii, Bathtub)",Alii Tower Resort View With King Bed - Mobility Accessible Tub,0.59,0.00,52.0,87%,Належить
"Room, 1 King Bed, Accessible, View (Rainbow, Bathtub)",Rainbow Tower Ocean View With King Bed - Mobility Accessible Tub  ,0.50,0.00,55.0,20%,Не належить
"Room, 1 King Bed, Ocean View (Alii)",Alii Tower Ocean View With King Bed,0.74,0.00,27.0,20%,Не належить
"Room, 1 King Bed, Oceanfront (Rainbow)",Rainbow Tower Ocean Front with King Bed,0.47,0.00,27.0,19%,Не належить
"Junior Suite, 1 King Bed, Accessible (Roll-in Shower)",Junior Suite - Accessible Roll-in Shower,0.75,1.00,14.0,82%,Належить
